ID,AFORO,IDHOSTAL
230001,9,4891
230002,2,1915
230003,10,8394
230004,8,16525
230005,7,17572
230006,1,14854
230007,1,3020
230008,4,3430
230009,9,6236
230010,8,2178
230011,10,8451
230012,9,8753
230013,1,2850
230014,5,15043
230015,6,7968
230016,4,11131
230017,7,7400
230018,8,14160
230019,5,1806
230020,10,5855
230021,2,12435
230022,8,5575
230023,8,3074
230024,6,13715
230025,5,131
230026,9,3462
230027,4,5143
230028,1,10560
230029,4,13680
230030,8,6058
230031,9,18461
230032,8,5580
230033,1,16940
230034,2,4253
230035,5,4123
230036,3,3947
230037,9,4068
230038,4,19961
230039,3,19760
230040,4,16528
230041,4,9379
230042,3,9702
230043,5,19072
230044,8,1921
230045,2,4190
230046,1,18427
230047,10,18797
230048,6,3285
230049,4,8363
230050,10,4118
230051,7,10150
230052,5,16184
230053,9,5915
230054,1,14320
230055,5,12292
230056,8,14968
230057,8,15708
230058,9,17004
230059,8,2379
230060,9,4429
230061,5,3620
230062,4,6116
230063,2,17122
230064,2,8900
230065,2,1209
230066,4,11966
230067,2,19233
230068,4,14510
230069,3,11961
230070,7,14852
230071,2,51
230072,4,17623
230073,2,4212
230074,8,15684
230075,10,3003
230076,8,17548
230077,2,10967
230078,6,9011
230079,6,10316
230080,5,6581
230081,10,10742
230082,7,9999
230083,7,5886
230084,1,13009
230085,4,4094
230086,2,15661
230087,6,13393
230088,6,8072
230089,5,3443
230090,10,179
230091,1,8384
230092,10,17130
230093,5,11814
230094,10,19483
230095,5,2307
230096,7,806
230097,2,15703
230098,7,8526
230099,3,16497
230100,2,11077
230101,3,4252
230102,3,8768
230103,2,14151
230104,2,18148
230105,2,1994
230106,3,7424
230107,3,7055
230108,4,17848
230109,4,18498
230110,4,15905
230111,3,16618
230112,2,11833
230113,4,18661
230114,1,981
230115,10,3131
230116,2,13303
230117,9,14584
230118,8,17353
230119,1,2438
230120,10,10526
230121,8,14413
230122,3,10487
230123,5,19485
230124,4,19341
230125,1,18563
230126,4,2069
230127,4,4136
230128,5,16616
230129,2,11752
230130,10,4221
230131,6,11414
230132,1,2739
230133,9,11083
230134,1,6594
230135,8,7882
230136,7,15839
230137,2,6415
230138,5,17287
230139,9,9658
230140,8,9134
230141,6,18600
230142,2,422
230143,8,18045
230144,5,5831
230145,1,14606
230146,10,9559
230147,1,6461
230148,2,7104
230149,2,6590
230150,9,7510
