ID,TIPOHABITACION,TAMANIO,IDHOTEL
150001,estandar,Grande,12253
150002,estandar,Grande,7859
150003,suite,Grande,1541
150004,semisuite,Grande,4192
150005,suite,Grande,2068
150006,semisuite,Grande,17940
150007,estandar,Grande,4334
150008,semisuite,Grande,7258
150009,suite,Grande,12417
150010,suite,Grande,4653
150011,semisuite,Grande,8750
150012,semisuite,Grande,14178
150013,suite,Grande,8335
150014,semisuite,Grande,7942
150015,semisuite,Grande,13536
150016,estandar,Grande,7243
150017,suite,Grande,13543
150018,suite,Grande,12262
150019,suite,Grande,12194
150020,estandar,Grande,16939
150021,estandar,Grande,9597
150022,semisuite,Grande,8764
150023,estandar,Grande,11466
150024,suite,Grande,12179
150025,semisuite,Grande,19933
150026,semisuite,Grande,16760
150027,suite,Grande,17331
150028,suite,Grande,5433
150029,suite,Grande,4032
150030,semisuite,Grande,17196
150031,suite,Grande,11958
150032,estandar,Grande,14633
150033,suite,Grande,7814
150034,semisuite,Grande,14002
150035,semisuite,Grande,1386
150036,estandar,Grande,11806
150037,estandar,Grande,1078
150038,estandar,Grande,19190
150039,semisuite,Grande,5027
150040,estandar,Grande,17337
150041,semisuite,Grande,18387
150042,estandar,Grande,15245
150043,suite,Grande,7522
150044,estandar,Grande,3769
150045,suite,Grande,5263
150046,estandar,Grande,4167
150047,suite,Grande,17087
150048,estandar,Grande,7087
150049,suite,Grande,8656
150050,estandar,Grande,14458
150051,semisuite,Grande,9564
150052,semisuite,Grande,7511
150053,suite,Grande,3917
150054,suite,Grande,19812
150055,estandar,Grande,9305
150056,suite,Grande,9236
150057,suite,Grande,6357
150058,suite,Grande,16988
150059,estandar,Grande,4316
150060,suite,Grande,11862
150061,estandar,Grande,18025
150062,suite,Grande,12835
150063,semisuite,Grande,1455
150064,suite,Grande,524
150065,suite,Grande,4213
150066,semisuite,Grande,17525
150067,estandar,Grande,1404
150068,suite,Grande,18467
150069,semisuite,Grande,5432
150070,suite,Grande,8945
150071,suite,Grande,18552
150072,semisuite,Grande,4373
150073,estandar,Grande,7225
150074,suite,Grande,7198
150075,estandar,Grande,1059
150076,semisuite,Grande,3299
150077,suite,Grande,739
150078,suite,Grande,992
150079,estandar,Grande,10184
150080,estandar,Grande,7002
150081,suite,Grande,2344
150082,semisuite,Grande,5536
150083,suite,Grande,12324
150084,estandar,Grande,10937
150085,suite,Grande,14300
150086,estandar,Grande,4942
150087,estandar,Grande,19014
150088,semisuite,Grande,19765
150089,semisuite,Grande,6749
150090,suite,Grande,19041
150091,suite,Grande,5478
150092,estandar,Grande,7464
150093,suite,Grande,1563
150094,suite,Grande,10288
150095,estandar,Grande,4952
150096,estandar,Grande,10313
150097,semisuite,Grande,5717
150098,estandar,Grande,9114
150099,suite,Grande,2160
150100,estandar,Grande,12444
150101,estandar,Grande,7037
150102,suite,Grande,18753
150103,suite,Grande,18230
150104,suite,Grande,14634
150105,suite,Grande,9149
150106,suite,Grande,1270
150107,suite,Grande,13543
150108,suite,Grande,12754
150109,suite,Grande,10209
150110,suite,Grande,19816
150111,suite,Grande,4680
150112,semisuite,Grande,16878
150113,estandar,Grande,17628
150114,semisuite,Grande,2257
150115,suite,Grande,10646
150116,suite,Grande,12324
150117,estandar,Grande,10268
150118,semisuite,Grande,17536
150119,semisuite,Grande,8046
150120,semisuite,Grande,4739
150121,suite,Grande,4069
150122,estandar,Grande,15839
150123,semisuite,Grande,12348
150124,semisuite,Grande,3319
150125,semisuite,Grande,10706
150126,estandar,Grande,8355
150127,semisuite,Grande,11003
150128,suite,Grande,14717
150129,suite,Grande,12402
150130,suite,Grande,1937
150131,estandar,Grande,9238
150132,semisuite,Grande,12299
150133,semisuite,Grande,2147
150134,semisuite,Grande,3871
150135,suite,Grande,2635
150136,estandar,Grande,6887
150137,suite,Grande,4198
150138,estandar,Grande,11087
150139,estandar,Grande,2204
150140,estandar,Grande,4281
150141,estandar,Grande,854
150142,suite,Grande,18360
150143,suite,Grande,15175
150144,estandar,Grande,19805
150145,suite,Grande,396
150146,suite,Grande,2110
150147,semisuite,Grande,1027
150148,semisuite,Grande,12292
150149,estandar,Grande,17973
150150,suite,Grande,3269
150151,estandar,Grande,14177
150152,estandar,Grande,10513
150153,semisuite,Grande,7206
150154,estandar,Grande,541
150155,suite,Grande,10045
150156,semisuite,Grande,15122
150157,estandar,Grande,4764
150158,semisuite,Grande,18945
150159,suite,Grande,6236
150160,semisuite,Grande,3072
150161,semisuite,Grande,5249
150162,suite,Grande,9528
150163,suite,Grande,4601
150164,semisuite,Grande,14032
150165,semisuite,Grande,1814
150166,estandar,Grande,11914
150167,estandar,Grande,12773
150168,estandar,Grande,9154
150169,semisuite,Grande,16346
150170,suite,Grande,7672
150171,semisuite,Grande,3894
150172,semisuite,Grande,2166
150173,suite,Grande,12067
150174,estandar,Grande,8899
150175,semisuite,Grande,11637
150176,suite,Grande,19850
150177,estandar,Grande,11871
150178,semisuite,Grande,11945
150179,estandar,Grande,2113
150180,semisuite,Grande,7439
150181,suite,Grande,8584
150182,suite,Grande,6531
150183,semisuite,Grande,12490
150184,estandar,Grande,5658
150185,estandar,Grande,18074
150186,suite,Grande,5009
150187,semisuite,Grande,17552
150188,semisuite,Grande,10906
150189,estandar,Grande,4711
150190,estandar,Grande,3349
150191,estandar,Grande,1777
150192,suite,Grande,15228
150193,estandar,Grande,17217
150194,semisuite,Grande,12525
150195,suite,Grande,19715
150196,suite,Grande,14860
150197,estandar,Grande,13849
150198,semisuite,Grande,7830
150199,suite,Grande,7823
150200,estandar,Grande,3118
150201,suite,Grande,7524
150202,semisuite,Grande,17578
150203,semisuite,Grande,25
150204,estandar,Grande,10247
150205,suite,Grande,10777
150206,estandar,Grande,15601
150207,estandar,Grande,18281
150208,estandar,Grande,8048
150209,suite,Grande,18316
150210,semisuite,Grande,3209
150211,estandar,Grande,7342
150212,suite,Grande,19415
150213,estandar,Grande,2294
150214,semisuite,Grande,3605
150215,semisuite,Grande,19048
150216,suite,Grande,18261
150217,estandar,Grande,5651
150218,estandar,Grande,13165
150219,suite,Grande,766
150220,semisuite,Grande,16225
150221,suite,Grande,9202
150222,estandar,Grande,9081
150223,suite,Grande,3714
150224,suite,Grande,17849
150225,estandar,Grande,6616
150226,estandar,Grande,14544
150227,semisuite,Grande,5624
150228,semisuite,Grande,5348
150229,suite,Grande,3872
150230,suite,Grande,11
150231,suite,Grande,16185
150232,estandar,Grande,11103
150233,suite,Grande,17342
150234,estandar,Grande,13368
150235,estandar,Grande,13754
150236,semisuite,Grande,13596
150237,semisuite,Grande,4160
150238,semisuite,Grande,5355
150239,suite,Grande,13603
150240,suite,Grande,4081
150241,suite,Grande,4548
150242,semisuite,Grande,9780
150243,estandar,Grande,9490
150244,suite,Grande,371
150245,suite,Grande,6055
150246,semisuite,Grande,17387
150247,suite,Grande,13087
150248,suite,Grande,9182
150249,suite,Grande,11776
150250,suite,Grande,3431
150251,estandar,Grande,5549
150252,suite,Grande,15566
150253,semisuite,Grande,15349
150254,estandar,Grande,16812
150255,semisuite,Grande,585
150256,semisuite,Grande,10281
150257,suite,Grande,7562
150258,semisuite,Grande,6951
150259,estandar,Grande,9197
150260,suite,Grande,15175
150261,semisuite,Grande,250
150262,estandar,Grande,294
150263,estandar,Grande,11114
150264,semisuite,Grande,15074
150265,semisuite,Grande,4178
150266,estandar,Grande,7773
150267,suite,Grande,18728
150268,estandar,Grande,12080
150269,suite,Grande,3365
150270,suite,Grande,14178
150271,estandar,Grande,16544
150272,estandar,Grande,17295
150273,suite,Grande,17675
150274,semisuite,Grande,3462
150275,semisuite,Grande,14379
150276,semisuite,Grande,14431
150277,suite,Grande,7386
150278,semisuite,Grande,54
150279,suite,Grande,11479
150280,semisuite,Grande,9220
150281,semisuite,Grande,7128
150282,suite,Grande,15196
150283,semisuite,Grande,8465
150284,semisuite,Grande,368
150285,semisuite,Grande,19713
150286,estandar,Grande,7075
150287,estandar,Grande,4766
150288,semisuite,Grande,6757
150289,suite,Grande,16497
150290,semisuite,Grande,15433
150291,estandar,Grande,2235
150292,semisuite,Grande,16056
150293,suite,Grande,2899
150294,estandar,Grande,19657
150295,semisuite,Grande,15174
150296,semisuite,Grande,1848
150297,semisuite,Grande,9505
150298,estandar,Grande,1557
150299,estandar,Grande,9726
150300,semisuite,Grande,422
150301,semisuite,Grande,1789
150302,semisuite,Grande,1747
150303,estandar,Grande,14861
150304,semisuite,Grande,9424
150305,suite,Grande,17724
150306,suite,Grande,14041
150307,semisuite,Grande,11068
150308,estandar,Grande,19002
150309,estandar,Grande,14329
150310,semisuite,Grande,8812
150311,suite,Grande,5768
150312,estandar,Grande,12244
150313,suite,Grande,17491
150314,suite,Grande,9870
150315,estandar,Grande,9085
150316,semisuite,Grande,17436
150317,suite,Grande,10809
150318,estandar,Grande,11372
150319,estandar,Grande,15188
150320,estandar,Grande,13137
150321,suite,Grande,5081
150322,semisuite,Grande,13599
150323,suite,Grande,7366
150324,suite,Grande,11450
150325,estandar,Grande,8364
150326,semisuite,Grande,7871
150327,suite,Grande,3301
150328,suite,Grande,4701
150329,suite,Grande,3195
150330,suite,Grande,8595
150331,suite,Grande,15898
150332,estandar,Grande,15986
150333,estandar,Grande,6868
150334,suite,Grande,19752
150335,suite,Grande,17976
150336,suite,Grande,3123
150337,estandar,Grande,10458
150338,suite,Grande,17065
150339,suite,Grande,2079
150340,suite,Grande,3894
150341,semisuite,Grande,1524
150342,suite,Grande,10208
150343,semisuite,Grande,1167
150344,semisuite,Grande,11371
150345,semisuite,Grande,19013
150346,semisuite,Grande,5409
150347,semisuite,Grande,5884
150348,estandar,Grande,13719
150349,estandar,Grande,8518
150350,estandar,Grande,16494
150351,suite,Grande,2109
150352,suite,Grande,15829
150353,suite,Grande,16001
150354,suite,Grande,7369
150355,estandar,Grande,4851
150356,estandar,Grande,14648
150357,semisuite,Grande,3330
150358,suite,Grande,17556
150359,semisuite,Grande,15212
150360,semisuite,Grande,17849
150361,estandar,Grande,16784
150362,semisuite,Grande,1027
150363,suite,Grande,663
150364,suite,Grande,18168
150365,estandar,Grande,15422
150366,semisuite,Grande,2222
150367,semisuite,Grande,12576
150368,estandar,Grande,5234
150369,suite,Grande,8677
150370,semisuite,Grande,8027
150371,estandar,Grande,165
150372,semisuite,Grande,169
150373,estandar,Grande,17151
150374,estandar,Grande,7370
150375,suite,Grande,5932
150376,estandar,Grande,12206
150377,semisuite,Grande,3812
150378,estandar,Grande,5113
150379,estandar,Grande,9546
150380,suite,Grande,5541
150381,estandar,Grande,4135
150382,estandar,Grande,19318
150383,estandar,Grande,5115
150384,semisuite,Grande,18183
150385,estandar,Grande,3956
150386,suite,Grande,202
150387,suite,Grande,14142
150388,estandar,Grande,15680
150389,estandar,Grande,15478
150390,suite,Grande,5194
150391,estandar,Grande,11120
150392,semisuite,Grande,5712
150393,suite,Grande,8754
150394,semisuite,Grande,6404
150395,semisuite,Grande,403
150396,estandar,Grande,6130
150397,suite,Grande,9522
150398,estandar,Grande,14991
150399,suite,Grande,17305
150400,suite,Grande,4705
150401,estandar,Grande,941
150402,semisuite,Grande,16304
150403,estandar,Grande,5396
150404,estandar,Grande,6942
150405,semisuite,Grande,3007
150406,suite,Grande,9338
150407,semisuite,Grande,14483
150408,semisuite,Grande,3464
150409,suite,Grande,7370
150410,semisuite,Grande,1993
150411,semisuite,Grande,9376
150412,suite,Grande,9627
150413,suite,Grande,19542
150414,estandar,Grande,11595
150415,semisuite,Grande,1612
150416,semisuite,Grande,11491
150417,semisuite,Grande,11495
150418,semisuite,Grande,10874
150419,semisuite,Grande,17388
150420,suite,Grande,9860
150421,suite,Grande,16591
150422,suite,Grande,237
150423,estandar,Grande,5491
150424,suite,Grande,5467
150425,suite,Grande,7560
150426,suite,Grande,9910
150427,estandar,Grande,4307
150428,semisuite,Grande,10356
150429,estandar,Grande,17916
150430,suite,Grande,10414
150431,suite,Grande,3061
150432,semisuite,Grande,9773
150433,suite,Grande,15286
150434,estandar,Grande,11590
150435,semisuite,Grande,9410
150436,semisuite,Grande,3119
150437,estandar,Grande,11811
150438,semisuite,Grande,14679
150439,semisuite,Grande,2666
150440,semisuite,Grande,5694
150441,suite,Grande,18367
150442,estandar,Grande,11345
150443,semisuite,Grande,16685
150444,estandar,Grande,12910
150445,suite,Grande,17088
150446,semisuite,Grande,4231
