REGCOMERCIO,NIT,NOMBRE,PRECIOSALAESTUDIO,PRECIOSALAESPARCIMIENTO,PRECIOGIMNASIO,RESTAURANTE
1,1,Larry's Vivienda Universitaria,488,384,903,N
2,2,Brett's Vivienda Universitaria,487,235,993,Y
3,3,Dennis's Vivienda Universitaria,248,205,164,Y
4,4,Eric's Vivienda Universitaria,253,179,401,N
5,5,Tracy's Vivienda Universitaria,399,387,623,N
6,6,Tyler's Vivienda Universitaria,383,226,655,Y
7,7,Eric's Vivienda Universitaria,236,215,570,N
8,8,Josephina's Vivienda Universitaria,224,175,625,N
9,9,Dale's Vivienda Universitaria,191,348,302,Y
10,10,Lucille's Vivienda Universitaria,458,352,156,Y
11,11,Dana's Vivienda Universitaria,487,415,282,Y
12,12,Stanley's Vivienda Universitaria,458,390,563,Y
13,13,Arleen's Vivienda Universitaria,386,151,649,Y
14,14,Ann's Vivienda Universitaria,371,208,314,N
15,15,Karen's Vivienda Universitaria,345,241,994,N
16,16,Kathy's Vivienda Universitaria,474,334,659,N
17,17,Roger's Vivienda Universitaria,370,131,409,N
18,18,Julie's Vivienda Universitaria,460,214,153,N
19,19,Karen's Vivienda Universitaria,301,416,925,N
20,20,Michael's Vivienda Universitaria,397,161,639,N
21,21,Denise's Vivienda Universitaria,315,305,948,Y
22,22,Kenneth's Vivienda Universitaria,161,402,808,Y
23,23,Dale's Vivienda Universitaria,104,409,143,Y
24,24,Levi's Vivienda Universitaria,374,408,631,Y
25,25,Terry's Vivienda Universitaria,149,495,621,Y
26,26,Margo's Vivienda Universitaria,107,382,170,Y
27,27,Norma's Vivienda Universitaria,190,296,125,N
28,28,Jean's Vivienda Universitaria,250,149,565,N
29,29,Steven's Vivienda Universitaria,328,488,818,Y
30,30,Christina's Vivienda Universitaria,133,499,738,N
31,31,Wilber's Vivienda Universitaria,181,264,316,N
32,32,Avery's Vivienda Universitaria,396,246,783,N
33,33,Heather's Vivienda Universitaria,216,478,460,N
34,34,Craig's Vivienda Universitaria,179,183,204,N
