IDALOJAMIENTO,IDSERVICIO,COSTO
227413,3,734
191524,10,497
193659,3,121
152747,12,279
217016,1,966
226757,5,940
168606,1,231
178448,12,397
153546,7,865
214135,3,793
194262,4,490
212289,3,960
153799,13,364
169240,4,298
186859,6,943
174354,7,536
198311,5,355
181518,5,416
204843,3,742
187288,6,200
161955,5,351
187095,4,184
196114,7,838
174375,9,1000
206324,8,466
188145,3,575
220438,6,387
155989,7,956
207495,12,171
192187,11,796
160435,12,440
208341,5,609
168031,9,141
225136,7,771
212174,11,387
153564,3,657
182995,7,894
197339,13,203
204218,4,144
216233,11,384
166547,11,257
219881,10,346
176336,7,913
217005,2,632
174926,1,531
214687,12,239
184924,2,295
215037,6,120
219378,13,886
225620,12,620
220815,9,826
155456,12,142
169214,5,300
181476,9,928
201123,7,746
186805,4,494
174157,4,897
198271,7,901
210761,5,398
213836,10,755
163890,2,692
185572,4,393
167957,2,778
170016,12,345
225617,8,106
215879,9,657
162115,3,361
174470,1,965
205434,8,612
170542,11,836
212267,2,758
179819,4,715
227649,11,540
189851,2,482
163629,2,853
182983,11,634
200288,4,129
179801,2,469
186216,5,303
159731,5,926
179835,1,147
152656,12,781
188998,9,510
174418,4,743
218971,11,149
163536,9,903
168184,9,593
204368,8,732
180851,4,776
183445,1,912
220695,8,434
157112,10,401
206593,1,735
190522,8,760
153308,5,670
166945,4,493
188784,6,578
227413,13,564
225615,6,824
222416,3,331
217138,4,442
152460,2,964
164963,13,616
211049,3,651
187509,10,116
176639,11,620
196079,1,716
204576,13,370
218738,5,968
165549,2,593
151594,3,833
164707,8,830
194829,10,284
198458,6,710
192870,13,857
187084,13,180
199909,6,654
209177,1,257
215390,12,213
204241,6,792
157790,2,981
203539,5,485
153901,5,990
170675,5,251
223372,9,206
209645,8,731
228313,5,691
182292,10,316
194550,6,197
172889,4,863
221857,11,133
222304,1,250
167075,3,319
189555,10,946
176391,2,706
165004,6,468
206286,2,761
196172,4,792
187391,6,834
165436,12,471
202552,10,565
218221,9,931
225872,2,290
204175,2,161
190224,4,375
182918,4,794
179551,13,367
183704,9,631
157410,9,893
174301,8,591
207712,2,133
197255,6,765
159584,3,833
212988,1,629
211829,8,897
213643,2,876
163841,8,539
209024,2,532
212614,2,422
185598,4,709
192707,7,508
225555,3,773
169459,1,914
200211,12,547
192936,5,695
191983,4,679
187171,4,315
161537,13,624
156285,10,416
185292,9,300
172508,3,775
217157,9,178
175512,7,984
176455,1,569
175087,2,672
223014,6,455
167399,6,690
152230,9,522
156375,3,176
204837,7,704
220478,4,485
226967,8,723
172736,13,744
228726,2,657
167843,9,609
154072,7,959
173028,12,949
210745,6,621
182734,8,926
203482,3,307
163186,10,927
185880,10,470
201459,11,736
220070,3,690
163407,12,938
154137,9,818
180523,7,432
191132,12,347
209391,5,283
188645,3,510
193983,10,468
160456,10,617
225998,5,964
164362,12,326
213562,8,991
217922,12,942
228376,8,263
184569,8,870
216061,12,597
189093,6,451
200580,2,341
187913,10,334
151399,4,246
229891,8,545
151868,11,307
211056,2,753
209268,1,586
220225,1,953
221097,4,600
152765,9,202
159425,7,908
169883,12,531
218862,5,620
222567,9,993
166783,7,852
204421,6,840
163732,10,140
171899,12,425
209558,12,827
204469,2,154
201294,12,760
225643,7,568
157527,10,403
225630,12,215
168747,4,883
175909,11,801
184030,8,641
226236,8,504
223689,7,891
154647,12,128
221567,9,407
155583,5,378
218274,4,788
168621,6,961
201844,1,443
