IDALOJAMIENTO,SERVPUBLICO,ADMINISTRACION,IDENTIFICACIONOPERADORUSUARIO
50001,Y,N,6516
50002,Y,Y,18161
50003,Y,Y,10731
50004,Y,N,33234
50005,N,N,29135
50006,N,Y,34880
50007,N,Y,9347
50008,Y,Y,43969
50009,Y,N,11900
50010,N,N,18924
50011,Y,N,23454
50012,Y,Y,2699
50013,Y,N,10563
50014,Y,Y,39413
50015,N,Y,16019
50016,Y,N,47322
50017,Y,N,14455
50018,Y,N,49781
50019,N,N,1958
50020,N,Y,18003
50021,Y,N,11887
50022,N,N,3602
50023,N,Y,10986
50024,N,N,4971
50025,N,N,46400
50026,N,Y,26732
50027,Y,Y,35290
50028,Y,Y,17013
50029,N,N,1515
50030,Y,N,44181
50031,Y,N,44939
50032,Y,Y,46462
50033,Y,Y,11179
50034,Y,Y,6428
50035,N,N,17466
50036,N,Y,27552
50037,Y,Y,12894
50038,Y,N,13271
50039,Y,N,4301
50040,Y,N,49315
50041,Y,Y,28338
50042,N,N,28933
50043,N,Y,38864
50044,Y,Y,6582
50045,N,Y,14153
50046,N,Y,18702
50047,Y,Y,30626
50048,N,N,16113
50049,N,Y,38135
50050,Y,Y,10503
50051,Y,Y,16613
50052,N,Y,15927
50053,Y,Y,784
50054,N,Y,38494
50055,Y,N,701
50056,N,N,4516
50057,Y,N,38994
50058,Y,N,34941
50059,N,Y,3375
50060,N,N,25314
50061,Y,Y,7052
50062,N,N,44585
50063,N,Y,46133
50064,N,Y,37445
50065,Y,N,7519
50066,Y,N,26908
50067,Y,N,23055
50068,N,N,41789
50069,Y,Y,32873
50070,Y,Y,4028
50071,Y,Y,41072
50072,Y,N,42674
50073,Y,N,8498
50074,Y,N,32102
50075,Y,Y,13064
50076,Y,N,27188
50077,Y,Y,42427
50078,Y,Y,19802
50079,Y,Y,27027
50080,Y,N,29615
50081,N,N,22133
50082,N,Y,37481
50083,N,Y,6847
50084,N,N,48884
50085,N,N,48594
50086,Y,N,30779
50087,N,N,47869
50088,N,Y,7029
50089,N,N,6651
50090,Y,Y,16153
50091,N,Y,14248
50092,Y,N,23679
50093,Y,Y,47597
50094,N,N,37753
50095,Y,Y,46726
50096,N,N,10834
50097,N,Y,40408
50098,Y,N,19504
50099,N,Y,3828
50100,N,Y,4831
50101,N,N,22205
50102,N,N,46245
50103,N,Y,36289
50104,Y,N,7709
50105,N,Y,19007
50106,N,Y,35906
50107,Y,Y,11887
50108,N,N,43768
50109,Y,Y,39512
50110,Y,Y,8606
50111,N,Y,13189
50112,N,N,14262
50113,Y,N,2829
50114,N,N,28493
50115,N,N,41049
50116,Y,Y,27653
50117,Y,Y,44194
50118,N,Y,5224
50119,Y,N,15923
50120,N,Y,25716
50121,N,N,47645
50122,N,N,28920
50123,Y,Y,47613
50124,N,Y,27721
50125,Y,N,42141
50126,N,Y,24875
50127,Y,Y,28115
50128,Y,N,24873
50129,N,N,10210
50130,Y,Y,3083
50131,N,Y,15794
50132,N,Y,48972
50133,N,Y,39486
50134,N,Y,48322
50135,Y,N,11297
50136,Y,N,37947
50137,Y,N,26784
50138,Y,Y,10072
50139,Y,N,27991
50140,Y,Y,16048
50141,Y,Y,39684
50142,Y,Y,43496
50143,N,Y,49284
50144,Y,Y,49053
50145,N,N,1015
50146,N,N,47799
50147,Y,Y,49926
50148,Y,N,20431
50149,N,N,45441
50150,N,Y,18867
50151,N,Y,37801
50152,N,N,9978
50153,Y,N,13930
50154,Y,Y,43419
50155,Y,N,38941
50156,N,Y,8867
50157,N,N,49176
50158,N,N,41783
50159,N,N,28366
50160,N,N,43656
50161,Y,N,6826
50162,N,N,28559
50163,Y,N,18905
50164,N,Y,30089
50165,Y,N,38495
50166,Y,N,27311
50167,N,Y,20048
50168,N,Y,15385
50169,N,N,37885
50170,N,N,21227
50171,Y,N,28813
50172,N,N,19422
50173,N,Y,10435
50174,N,Y,26123
50175,Y,Y,46607
50176,N,Y,30119
50177,N,N,17540
50178,N,N,23341
