IDALOJAMIENTO,COMIDAS,TIPOBANIO,TIPOHABITACION,DTOMESEXTRA,IDENTIFICACIONOPERADORUSUARIO
1,3,compartido,compartido,96,16210
2,3,compartido,individual,59,13319
3,3,privado,individual,19,43079
4,2,privado,compartido,1,39491
5,2,compartido,compartido,12,35348
6,2,privado,individual,60,31314
7,1,compartido,compartido,66,32449
8,3,compartido,compartido,54,19688
9,3,privado,individual,79,17166
10,0,compartido,individual,69,47006
11,2,compartido,compartido,52,25520
12,0,compartido,compartido,14,32825
13,1,privado,compartido,39,20279
14,0,privado,individual,81,2586
15,3,compartido,compartido,99,6152
16,3,compartido,individual,31,34932
17,2,compartido,individual,38,17495
18,1,privado,individual,86,6339
19,3,compartido,compartido,15,10806
20,0,compartido,individual,59,7228
21,2,privado,compartido,64,18010
22,0,privado,individual,29,18841
23,0,compartido,individual,84,37397
24,0,compartido,compartido,14,16691
25,0,compartido,compartido,46,49352
26,2,compartido,individual,78,17568
27,0,privado,compartido,85,24164
28,1,compartido,individual,36,4864
29,3,privado,individual,59,44778
30,1,privado,compartido,63,9692
31,2,privado,individual,79,25949
32,1,privado,individual,66,31222
33,0,privado,individual,42,3563
34,2,privado,individual,81,16591
35,2,privado,compartido,99,49778
36,3,privado,individual,99,30807
37,0,compartido,individual,67,41610
38,0,compartido,individual,72,14965
39,0,privado,compartido,34,17802
40,3,privado,compartido,62,42336
41,3,privado,compartido,33,29268
42,3,compartido,individual,80,32502
43,1,privado,compartido,97,41223
44,3,compartido,compartido,73,15352
45,1,privado,individual,17,23599
46,2,privado,individual,78,20809
47,0,compartido,compartido,88,30144
48,2,compartido,individual,28,39583
49,1,privado,individual,23,1896
50,3,compartido,individual,67,7430
51,3,compartido,compartido,73,39128
52,2,compartido,compartido,78,33941
53,3,privado,compartido,33,20380
54,2,privado,compartido,91,2999
55,2,privado,compartido,32,31970
56,3,compartido,individual,1,16828
57,2,privado,compartido,20,17328
58,0,privado,compartido,97,37257
59,1,compartido,individual,48,45083
60,1,compartido,compartido,26,17360
61,1,privado,compartido,34,6645
62,1,compartido,compartido,6,25880
63,0,compartido,individual,32,6536
64,0,compartido,compartido,42,3723
65,2,compartido,compartido,1,7960
66,2,compartido,compartido,57,46896
67,3,compartido,compartido,28,29574
68,1,privado,individual,87,9711
69,0,compartido,compartido,80,40318
70,2,compartido,individual,98,47815
71,3,privado,individual,48,43320
72,1,privado,individual,81,14580
73,3,privado,individual,7,1197
74,3,compartido,compartido,59,24131
75,0,privado,compartido,20,26165
76,3,compartido,individual,82,5551
77,0,compartido,compartido,3,22234
78,3,compartido,individual,88,32394
79,3,privado,compartido,15,22349
80,2,compartido,individual,75,3873
81,3,compartido,compartido,30,25104
82,1,compartido,individual,90,11391
83,1,compartido,individual,4,46357
84,1,compartido,compartido,66,22033
85,2,privado,individual,22,39313
86,1,compartido,compartido,20,30935
87,0,privado,individual,40,16546
88,3,privado,compartido,83,49539
89,2,privado,compartido,78,30015
90,1,compartido,individual,98,43753
91,2,compartido,individual,19,10181
92,2,privado,compartido,61,18514
93,1,compartido,individual,49,3937
94,2,privado,individual,54,25510
95,3,compartido,individual,28,11757
96,3,compartido,individual,66,38064
97,0,compartido,compartido,13,5075
98,1,privado,individual,20,11217
99,3,privado,compartido,71,11131
100,0,compartido,individual,21,16324
101,3,compartido,individual,76,34086
102,3,privado,compartido,51,37128
103,3,compartido,compartido,96,39234
104,3,privado,individual,14,23832
105,2,compartido,individual,17,29879
106,3,compartido,compartido,42,26532
107,1,privado,individual,73,22693
108,0,compartido,individual,94,26381
109,3,privado,individual,21,1013
110,2,compartido,compartido,79,41564
111,3,compartido,individual,50,19276
112,1,privado,compartido,82,35513
113,0,compartido,compartido,75,19610
114,1,compartido,compartido,81,45026
115,0,privado,individual,56,35422
116,1,privado,compartido,40,29841
117,3,compartido,compartido,27,1508
118,0,compartido,individual,80,39285
119,3,compartido,individual,74,4701
120,1,compartido,individual,59,13312
121,1,compartido,compartido,42,46573
122,0,compartido,individual,42,25741
123,3,compartido,compartido,3,42957
124,3,compartido,individual,12,19597
125,0,privado,compartido,21,5941
126,3,compartido,individual,13,37244
127,0,privado,compartido,66,34480
128,2,compartido,individual,87,36458
129,2,privado,individual,78,17120
130,0,privado,individual,92,48667
131,0,privado,individual,21,30452
132,3,privado,individual,1,10894
133,0,privado,compartido,31,21817
134,2,compartido,compartido,14,31509
135,0,compartido,compartido,55,12116
136,1,compartido,individual,58,37647
137,3,privado,individual,82,41438
138,0,compartido,compartido,85,34070
139,3,compartido,compartido,81,45057
140,0,compartido,compartido,17,27704
141,1,compartido,individual,2,18152
142,2,privado,compartido,60,23877
143,2,compartido,compartido,12,41776
144,1,compartido,compartido,92,13932
145,2,privado,individual,29,14634
146,3,compartido,compartido,69,23383
147,2,compartido,compartido,31,45748
148,1,compartido,compartido,54,25961
149,3,compartido,compartido,98,27407
150,3,compartido,individual,9,13983
151,3,privado,individual,40,47844
152,2,privado,compartido,13,13488
153,2,privado,individual,80,21304
154,1,compartido,compartido,79,6768
155,3,compartido,individual,32,13371
156,0,compartido,compartido,42,27302
157,1,compartido,individual,26,5913
158,1,privado,compartido,34,322
159,2,privado,individual,43,29259
160,2,privado,individual,12,12261
161,3,privado,compartido,44,46213
162,2,compartido,individual,23,17559
163,2,compartido,compartido,85,1216
164,2,compartido,individual,25,39285
165,1,compartido,individual,80,14984
166,2,compartido,individual,82,38573
167,3,privado,compartido,69,34186
168,1,privado,compartido,62,29136
169,3,compartido,individual,35,28320
170,0,privado,individual,29,16177
171,3,privado,individual,100,31812
172,0,privado,individual,24,24245
173,0,compartido,compartido,57,1077
174,3,privado,individual,72,6336
175,3,privado,compartido,16,5587
176,0,compartido,compartido,95,23225
177,2,privado,compartido,85,17959
178,0,compartido,individual,47,8223
179,1,privado,individual,93,19949
180,1,privado,compartido,24,8832
181,0,compartido,individual,34,49439
182,2,privado,compartido,81,1280
183,0,privado,individual,69,31831
184,0,compartido,individual,67,31426
185,2,privado,individual,70,39500
186,1,compartido,compartido,44,13981
187,3,privado,individual,64,11804
188,0,privado,compartido,67,4428
189,3,privado,individual,78,30729
190,2,privado,individual,63,33081
191,0,compartido,individual,23,31957
192,3,privado,compartido,82,36591
193,2,privado,compartido,4,4687
194,0,compartido,individual,76,46394
195,0,privado,individual,17,9551
196,3,compartido,compartido,26,5932
197,3,compartido,individual,9,26143
198,1,privado,compartido,42,2426
199,0,privado,individual,51,12507
200,1,privado,compartido,41,22749
201,1,privado,compartido,80,48489
202,2,compartido,individual,74,38621
203,3,compartido,individual,92,37483
204,0,privado,compartido,84,12379
205,3,compartido,compartido,56,28859
206,2,compartido,individual,16,21400
207,1,compartido,individual,14,13389
208,2,compartido,compartido,39,16243
209,2,compartido,individual,43,2254
210,3,compartido,compartido,26,11487
211,1,privado,individual,32,17729
212,1,privado,individual,2,35235
213,3,privado,individual,24,10441
214,1,privado,individual,71,44141
215,2,privado,individual,52,39375
216,1,privado,compartido,70,38814
217,2,privado,compartido,77,37095
218,3,privado,individual,79,34044
219,2,compartido,individual,7,25735
220,2,compartido,compartido,77,44101
221,3,privado,compartido,64,18645
222,2,privado,compartido,88,34532
223,1,compartido,individual,25,121
224,2,privado,compartido,26,42492
225,1,privado,individual,81,45169
226,1,compartido,compartido,88,31688
227,0,compartido,individual,89,42672
228,3,compartido,individual,60,32396
229,3,compartido,compartido,19,23207
230,2,compartido,compartido,84,38963
231,2,compartido,compartido,80,35630
232,3,compartido,individual,79,44687
233,3,privado,individual,58,6817
234,2,privado,individual,99,40958
235,1,privado,compartido,4,26833
236,2,privado,compartido,12,44705
237,0,compartido,individual,86,29194
238,0,privado,individual,62,2224
239,3,privado,individual,60,7760
240,0,privado,individual,1,19689
241,1,compartido,individual,34,9782
242,0,compartido,individual,77,29355
243,2,compartido,individual,81,18745
244,2,compartido,compartido,63,3536
245,1,privado,compartido,49,45930
246,0,privado,compartido,51,36177
247,0,compartido,individual,99,16616
248,0,compartido,individual,16,26517
249,2,compartido,individual,64,45274
250,2,compartido,individual,82,19792
251,2,privado,individual,4,635
252,3,compartido,compartido,41,20586
253,0,compartido,individual,93,39403
254,0,privado,individual,5,13766
255,2,privado,compartido,56,46376
256,0,privado,individual,70,891
257,3,privado,compartido,98,970
258,0,compartido,compartido,13,31095
259,2,privado,compartido,60,18853
260,3,compartido,individual,31,39244
261,3,compartido,compartido,53,48968
262,3,privado,individual,65,21308
263,2,privado,compartido,44,43702
264,3,compartido,individual,68,9157
265,0,compartido,compartido,27,41269
266,2,compartido,compartido,57,12163
267,0,privado,individual,84,20113
268,0,privado,compartido,41,15631
269,1,privado,compartido,92,31030
270,0,privado,individual,7,5129
271,0,compartido,individual,31,33369
272,3,compartido,individual,5,10210
273,3,compartido,compartido,97,16654
274,1,compartido,compartido,93,19074
275,3,privado,individual,59,45206
276,1,privado,individual,72,10427
277,2,privado,individual,73,21580
278,0,compartido,compartido,20,22081
279,2,compartido,individual,86,24103
280,1,privado,individual,50,36714
281,2,privado,compartido,57,13103
282,2,privado,compartido,74,20682
283,1,privado,individual,32,7931
284,1,privado,individual,4,19108
285,1,privado,individual,81,11054
286,1,compartido,individual,89,36884
287,0,compartido,individual,40,21640
288,3,compartido,compartido,54,34004
289,0,privado,compartido,24,46421
290,2,compartido,individual,48,43084
291,3,privado,individual,72,13033
292,0,privado,compartido,33,10522
293,2,compartido,compartido,8,30674
294,2,privado,compartido,67,26517
295,0,privado,compartido,72,387
296,0,privado,individual,53,1412
297,1,compartido,compartido,82,33545
298,2,compartido,individual,13,1483
299,2,privado,individual,90,47567
300,2,privado,compartido,35,26642
301,3,compartido,individual,66,21125
302,1,compartido,compartido,37,2953
303,1,compartido,individual,100,7936
304,3,compartido,individual,48,26048
305,1,compartido,compartido,7,6276
306,2,compartido,individual,2,7984
307,2,compartido,individual,39,25533
308,2,compartido,individual,54,37915
309,0,privado,compartido,35,34143
310,3,compartido,individual,2,28782
311,0,compartido,individual,56,16703
312,1,privado,compartido,80,1981
313,1,compartido,compartido,20,31366
314,1,compartido,compartido,4,3032
315,0,compartido,individual,52,30752
316,1,compartido,compartido,17,49706
317,3,compartido,compartido,49,46193
318,1,privado,individual,99,33038
319,2,privado,compartido,42,13404
320,2,privado,individual,21,17406
321,2,compartido,individual,10,13598
322,2,privado,individual,67,3206
323,2,compartido,individual,46,11064
324,1,compartido,compartido,53,1627
325,1,compartido,individual,13,31757
326,3,privado,compartido,58,23939
327,2,privado,individual,90,6450
328,2,privado,individual,26,33281
329,1,compartido,individual,13,19073
330,2,compartido,individual,48,40217
331,1,privado,individual,69,1769
332,3,privado,compartido,54,23901
333,3,privado,individual,12,24099
334,2,privado,compartido,51,8543
335,1,privado,compartido,93,22637
336,1,privado,compartido,50,14711
337,0,privado,individual,28,15726
338,1,privado,compartido,2,17635
339,1,privado,compartido,90,17522
340,2,privado,compartido,60,3830
341,1,privado,compartido,3,37873
342,3,privado,individual,12,29729
343,2,privado,individual,59,47805
344,0,compartido,compartido,12,30711
345,0,compartido,compartido,95,46038
346,1,compartido,compartido,88,31305
347,0,compartido,compartido,7,41124
348,0,privado,compartido,72,36363
349,2,compartido,compartido,68,45813
350,3,compartido,individual,68,6362
351,2,privado,individual,100,4993
352,2,compartido,compartido,42,24618
353,1,privado,compartido,1,49725
354,0,compartido,compartido,5,40660
355,3,privado,compartido,60,36596
356,1,privado,individual,29,20111
357,2,privado,compartido,44,10715
358,3,compartido,individual,64,404
359,1,compartido,compartido,21,20751
360,3,privado,compartido,32,6835
361,0,privado,individual,42,7948
362,2,compartido,individual,58,25281
363,3,compartido,compartido,58,36706
364,0,compartido,individual,76,12723
365,1,compartido,individual,57,13122
366,0,compartido,individual,11,23480
367,1,compartido,compartido,34,19692
368,1,compartido,compartido,70,19561
369,3,privado,individual,32,3785
370,3,privado,individual,45,25350
371,0,compartido,individual,56,24972
372,3,compartido,compartido,70,33184
373,0,compartido,compartido,4,18902
374,0,compartido,compartido,32,17670
375,1,compartido,compartido,88,39163
376,2,compartido,individual,76,648
377,0,compartido,individual,45,23560
378,1,privado,compartido,36,9647
379,1,compartido,individual,24,39738
380,1,privado,compartido,2,34018
381,1,privado,compartido,83,32318
382,1,privado,individual,49,14855
383,1,compartido,compartido,91,35282
384,3,compartido,individual,76,19183
385,2,privado,individual,95,9316
386,3,compartido,individual,61,41544
387,0,compartido,compartido,48,43003
388,2,compartido,compartido,18,13232
389,3,privado,compartido,77,46518
390,2,compartido,individual,93,225
391,2,compartido,individual,41,12666
392,1,privado,compartido,32,36928
393,3,privado,compartido,48,19260
394,0,compartido,compartido,1,21695
395,0,privado,compartido,25,945
396,2,privado,individual,50,13260
397,2,compartido,individual,34,12944
398,1,compartido,compartido,55,40167
399,0,privado,individual,57,26636
400,2,compartido,individual,43,18623
401,3,compartido,individual,95,25581
402,3,compartido,individual,59,28949
403,0,privado,individual,9,8246
404,3,compartido,compartido,93,27941
405,0,privado,compartido,81,3641
406,3,compartido,individual,67,22430
407,0,privado,individual,55,30477
408,1,compartido,compartido,29,48157
409,1,privado,individual,5,23863
410,3,privado,individual,77,11425
411,2,compartido,compartido,48,22428
412,0,privado,individual,52,45229
413,3,compartido,compartido,97,28457
414,2,privado,compartido,93,11393
415,3,privado,compartido,76,7651
416,2,privado,individual,63,24330
417,2,privado,compartido,85,26090
418,0,compartido,individual,50,44522
419,2,privado,individual,48,47014
420,3,privado,individual,68,20233
421,3,compartido,individual,55,46337
422,1,compartido,individual,85,13903
423,0,privado,individual,91,9476
424,0,privado,compartido,20,32528
425,3,privado,individual,60,25466
426,3,privado,compartido,47,5261
427,1,compartido,individual,56,16251
428,2,compartido,individual,75,41766
429,1,privado,compartido,18,33944
430,0,privado,compartido,57,34660
431,1,privado,individual,5,30622
432,0,compartido,individual,36,46195
433,1,privado,individual,78,16669
434,2,compartido,compartido,4,26240
435,3,compartido,individual,89,44391
436,3,privado,individual,72,48243
437,1,privado,compartido,86,487
438,1,privado,compartido,19,28004
439,1,compartido,compartido,26,40178
440,1,compartido,compartido,33,7375
441,3,privado,individual,17,49993
442,0,privado,individual,29,33925
443,0,compartido,compartido,95,14864
444,1,privado,individual,40,21588
445,0,compartido,compartido,81,40201
446,0,compartido,compartido,1,38894
447,3,privado,compartido,22,27820
448,2,privado,individual,90,22991
449,0,compartido,individual,35,23677
450,0,compartido,individual,38,17189
451,0,privado,compartido,31,18330
452,1,compartido,individual,23,22765
453,2,compartido,compartido,1,2879
454,3,compartido,individual,56,2912
455,2,privado,individual,72,14150
456,0,privado,compartido,84,26346
457,3,compartido,individual,94,4052
458,0,compartido,compartido,76,46004
459,3,compartido,individual,44,5996
460,2,privado,compartido,38,2961
461,1,compartido,compartido,9,28939
462,2,compartido,compartido,68,13573
463,3,compartido,individual,21,19312
464,1,compartido,individual,98,19039
465,1,privado,individual,50,42205
466,1,privado,individual,79,5470
467,2,compartido,compartido,30,3306
468,0,privado,individual,75,28315
469,1,privado,compartido,45,32363
470,0,compartido,individual,51,47669
471,1,privado,individual,82,35266
472,1,privado,individual,30,45776
473,2,compartido,individual,44,27720
474,2,compartido,individual,94,46620
475,2,compartido,compartido,50,40612
476,1,privado,compartido,33,35002
477,2,compartido,individual,75,36221
478,3,privado,individual,67,11728
479,0,compartido,individual,57,790
480,0,compartido,compartido,3,19607
481,2,compartido,compartido,45,38929
482,3,compartido,individual,63,22167
483,1,compartido,individual,33,21155
