ID,TIPOHABITACION,CAPACIDAD,IDVIVIENDAUNIVERSITARIA
190001,compartido,4,8292
190002,individual,3,2829
190003,individual,3,10600
190004,compartido,2,2033
190005,individual,3,14594
190006,individual,1,1510
190007,individual,1,3287
190008,compartido,3,16410
190009,compartido,3,11512
190010,individual,4,14078
190011,compartido,3,7922
190012,individual,4,8350
190013,individual,1,8142
190014,compartido,4,7719
190015,individual,1,5434
190016,compartido,4,4910
190017,individual,1,11124
190018,individual,1,1332
190019,compartido,1,1796
190020,individual,4,10228
190021,compartido,4,10180
190022,compartido,4,3884
190023,individual,4,19257
190024,compartido,3,15505
190025,individual,1,1133
190026,individual,1,1197
190027,individual,2,9475
190028,individual,2,19350
190029,compartido,2,13827
190030,individual,4,9434
190031,compartido,1,9228
190032,individual,3,7618
190033,compartido,3,17232
190034,compartido,1,17477
190035,individual,3,15848
190036,individual,2,10781
190037,individual,1,10808
190038,individual,4,18958
190039,compartido,3,15963
190040,individual,1,2798
190041,compartido,2,88
190042,compartido,4,890
190043,compartido,4,3541
190044,compartido,3,3628
190045,individual,1,10478
190046,individual,1,9431
190047,compartido,4,5237
190048,compartido,1,9524
190049,individual,2,13262
190050,individual,2,4749
190051,compartido,1,11340
190052,individual,4,15725
190053,individual,2,7427
190054,individual,2,18064
190055,compartido,3,6533
190056,compartido,2,19479
190057,individual,1,9847
190058,compartido,1,2287
190059,individual,1,16674
190060,compartido,4,13042
190061,compartido,3,7238
190062,individual,4,8908
190063,individual,2,18071
190064,compartido,1,17977
190065,compartido,2,9118
190066,individual,2,6120
190067,individual,1,11367
190068,individual,2,17987
190069,individual,1,5864
190070,compartido,1,8707
190071,compartido,2,18474
190072,compartido,2,9785
190073,individual,3,14718
190074,individual,2,8381
190075,individual,4,11434
190076,individual,3,6949
190077,individual,4,9009
190078,individual,1,12009
190079,compartido,2,6226
190080,compartido,3,10924
190081,compartido,3,15461
190082,compartido,1,16899
190083,compartido,4,5167
190084,individual,4,5664
190085,individual,3,2781
190086,compartido,1,9047
190087,individual,4,15983
190088,compartido,4,16938
190089,compartido,4,14562
190090,individual,2,5442
190091,compartido,1,10150
190092,compartido,2,6704
190093,individual,3,12491
190094,compartido,1,11375
190095,compartido,1,19333
190096,individual,3,7081
190097,compartido,1,8682
190098,individual,4,13916
190099,individual,2,4890
190100,individual,2,12066
190101,individual,1,5333
190102,compartido,2,15799
190103,individual,3,6577
190104,individual,3,1719
190105,individual,3,15005
190106,individual,4,11977
190107,compartido,3,1908
190108,compartido,1,11752
190109,compartido,4,9291
190110,compartido,3,1937
190111,individual,3,887
190112,individual,3,4432
190113,individual,2,7830
190114,individual,2,3633
190115,compartido,3,5444
190116,compartido,4,3514
190117,individual,1,1487
190118,compartido,4,3851
190119,compartido,3,13779
190120,compartido,4,11826
190121,individual,4,16593
190122,individual,1,13082
190123,compartido,3,4255
190124,compartido,3,67
190125,compartido,2,6082
190126,compartido,2,16322
190127,compartido,3,3493
190128,compartido,1,11536
190129,compartido,4,6390
190130,individual,1,14999
190131,compartido,2,6787
190132,individual,2,12949
190133,individual,4,18921
190134,compartido,3,16825
